Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Russe,Tartus,1563.0km,60.855000000000004,14.20%,97.67ms,117.92ms,3.87ms,2022-01-07 05:02:46
Russe,Malta,1383.0km,47.375,16.24%,71.00ms,136.20ms,11.63ms,2022-01-07 04:46:41
Russe,Agia-Napa,1348.0km,53.519999999999996,13.88%,87.24ms,94.98ms,2.68ms,2022-01-07 04:25:02
Russe,Pentaskinos,1275.0km,48.155,13.88%,87.24ms,94.98ms,2.68ms,2022-01-07 04:25:02
Russe,Tg-Carbunesti,km,14.7465
Russe,Hegyeshantom,680.0km,15.114999999999998,42.87%,15.44ms,16.46ms,0.36ms,2022-01-07 04:06:12
Russe,Norden,1853.0km,23.99,43.10%,40.11ms,45.45ms,1.09ms,2022-01-07 04:16:43
Russe,Katwijk,1836.0km,24.259999999999998,50.39%,36.14ms,36.50ms,0.21ms,2022-01-07 04:45:05
Russe,Drobeta-Turnu-Sevenin,587.0km,31.75,6.75%,52.86ms,55.49ms,0.54ms,2022-01-07 04:31:56
Russe,Timisoara,598.0km,28.445,8.80%,44.05ms,178.47ms,26.52ms,2022-01-07 05:03:10
Russe,Dunaujvaros,727.0km,10.35,42.87%,15.44ms,16.46ms,0.36ms,2022-01-07 04:06:12
Russe,Stuttgart,1622.0km,24.295,39.84%,36.92ms,37.71ms,0.22ms,2022-01-07 04:43:26
Russe,Lille,1861.0km,28.935,39.30%,47.01ms,49.28ms,0.55ms,2022-01-07 04:38:12
Russe,Walserberg,1319.0km,25.1,37.16%,22.89ms,87.31ms,21.63ms,2022-01-07 04:30:42
Russe,Sofia,293.0km,4.795,32.56%,9.44ms,10.34ms,0.21ms,2022-01-07 04:42:26
